iter	Passed	Remaining
214	2367	3689
215	2378	3677
216	2389	3666
217	2400	3655
218	2411	3644
219	2422	3633
220	2433	3622
221	2443	3610
222	2454	3599
223	2465	3587
224	2476	3576
225	2487	3565
226	2497	3553
227	2508	3542
228	2519	3531
229	2529	3518
230	2539	3507
231	2549	3494
232	2559	3482
233	2568	3469
234	2578	3456
235	2588	3443
236	2597	3430
237	2608	3418
238	2619	3408
239	2630	3397
240	2640	3385
241	2651	3374
242	2661	3362
243	2672	3351
244	2683	3340
245	2694	3329
246	2704	3318
247	2715	3306
248	2726	3295
249	2736	3283
250	2746	3272
251	2757	3260
252	2767	3249
253	2778	3237
254	2788	3226
255	2800	3215
256	2811	3205
257	2821	3193
258	2833	3183
259	2843	3171
260	2854	3161
261	2865	3150
262	2876	3139
263	2887	3127
264	2898	3117
265	2909	3105
266	2919	3094
267	2930	3083
268	2941	3072
269	2952	3061
270	2962	3050
271	2974	3040
272	2985	3029
273	2996	3018
274	3007	3007
275	3018	2996
276	3029	2985
277	3040	2975
278	3051	2964
279	3062	2953
280	3073	2942
281	3085	2931
282	3096	2921
283	3107	2910
284	3118	2900
285	3129	2888
286	3140	2877
287	3151	2866
288	3162	2856
289	3173	2844
290	3183	2833
291	3193	2822
292	3204	2810
293	3215	2799
294	3225	2788
295	3235	2776
296	3246	2765
297	3257	2754
298	3269	2744
299	3280	2733
300	3291	2723
301	3302	2712
302	3314	2701
303	3326	2691
304	3337	2681
305	3348	2670
306	3360	2659
307	3371	2649
308	3378	2635
309	3391	2625
310	3403	2615
311	3414	2604
312	3425	2593
313	3437	2583
314	3448	2572
315	3459	2562
316	3470	2551
317	3481	2540
318	3492	2529
319	3503	2518
320	3515	2507
321	3526	2496
322	3537	2486
323	3548	2475
324	3559	2464
325	3571	2453
326	3578	2440
327	3589	2429
328	3601	2419
329	3613	2408
330	3624	2398
331	3637	2388
332	3649	2378
333	3661	2367
334	3673	2357
335	3686	2347
336	3694	2334
337	3706	2324
338	3717	2313
339	3729	2303
340	3741	2293
341	3752	2282
342	3765	2272
343	3777	2262
344	3790	2252
345	3802	2241
346	3813	2231
347	3825	2220
348	3836	2209
349	3847	2198
350	3858	2187
351	3869	2176
352	3880	2165
353	3891	2154
354	3901	2143
355	3912	2132
356	3923	2121
357	3934	2110
358	3945	2099
359	3955	2087
360	3966	2076
361	3979	2066
362	3995	2058
363	4010	2049
364	4022	2038
365	4034	2028
366	4046	2017
367	4059	2007
368	4071	1997
369	4083	1986
370	4097	1977
371	4111	1967
372	4125	1957
373	4141	1948
374	4157	1940
375	4173	1931
376	4189	1922
377	4208	1914
378	4224	1905
379	4240	1896
380	4257	1888
381	4274	1879
382	4290	1870
383	4306	1861
384	4322	1852
385	4339	1843
386	4355	1834
387	4371	1825
388	4386	1815
389	4401	1805
390	4419	1797
391	4438	1788
392	4457	1780
393	4475	1771
394	4491	1762
395	4508	1753
396	4545	1751
397	4559	1741
398	4575	1731
399	4591	1721
400	4605	1711
401	4621	1701
402	4638	1692
403	4655	1682
404	4673	1673
405	4691	1663
406	4710	1655
407	4730	1646
408	4751	1638
